opcode,time
14,1.9073486328125e-05
2,4.0531158447265625e-06
2,1.1920928955078125e-06
2,0.0
5,3.814697265625e-06
3,2.1457672119140625e-06
2,9.5367431640625e-07
15,1.0967254638671875e-05
2,5.245208740234375e-06
2,8.106231689453125e-06
2,1.1920928955078125e-06
2,9.5367431640625e-07
2,0.0
2,9.5367431640625e-07
14,1.1920928955078125e-05
7,1.1920928955078125e-06
14,9.775161743164062e-06
4,3.814697265625e-06
2,7.152557373046875e-07
14,9.059906005859375e-06
14,1.2159347534179688e-05
23,6.198883056640625e-06
15,9.059906005859375e-06
7,1.1920928955078125e-06
10,3.814697265625e-06
7,9.5367431640625e-07
9,3.0994415283203125e-06
7,1.1920928955078125e-06
15,9.298324584960938e-06
15,8.106231689453125e-06
7,2.1457672119140625e-06
7,1.1920928955078125e-06
14,1.4066696166992188e-05
4,4.0531158447265625e-06
2,9.5367431640625e-07
14,1.0967254638671875e-05
23,9.5367431640625e-07
15,1.1682510375976562e-05
15,1.0013580322265625e-05
7,9.5367431640625e-07
2,6.9141387939453125e-06
7,1.1920928955078125e-06
14,1.0013580322265625e-05
20,9.059906005859375e-06
15,1.0967254638671875e-05
260,0.0005848407745361328
7,9.5367431640625e-07
14,1.2159347534179688e-05
2,9.5367431640625e-07
12,1.1920928955078125e-06
2,9.5367431640625e-07
12,9.5367431640625e-07
14,8.821487426757812e-06
2,9.5367431640625e-07
12,9.5367431640625e-07
12,0.0
15,8.821487426757812e-06
7,1.1920928955078125e-06
14,6.9141387939453125e-06
12,9.5367431640625e-07
2,9.5367431640625e-07
2,0.0
15,9.775161743164062e-06
7,1.1920928955078125e-06
2,9.5367431640625e-07
256,2.5987625122070312e-05
14,7.867813110351562e-06
2,9.5367431640625e-07
12,9.5367431640625e-07
3,4.291534423828125e-06
12,9.5367431640625e-07
12,0.0
15,9.059906005859375e-06
12,1.1920928955078125e-06
263,1.8835067749023438e-05
12,9.5367431640625e-07
261,1.3113021850585938e-05
15,9.059906005859375e-06
3,3.0994415283203125e-06
3,2.1457672119140625e-06
22,9.5367431640625e-07
1,0.0
7,0.0
14,9.298324584960938e-06
4,2.7179718017578125e-05
2,0.0
14,9.059906005859375e-06
14,7.152557373046875e-06
23,1.1920928955078125e-06
3,3.0994415283203125e-06
9,2.86102294921875e-06
1,0.0
23,1.1920928955078125e-06
3,1.9073486328125e-06
9,3.0994415283203125e-06
1,9.5367431640625e-07
23,9.5367431640625e-07
3,4.0531158447265625e-06
9,3.0994415283203125e-06
1,0.0
23,9.5367431640625e-07
3,2.1457672119140625e-06
9,3.0994415283203125e-06
1,0.0
23,9.5367431640625e-07
3,3.0994415283203125e-06
9,3.814697265625e-06
1,0.0
23,9.5367431640625e-07
3,1.9073486328125e-06
9,3.0994415283203125e-06
1,9.5367431640625e-07
23,9.5367431640625e-07
3,2.86102294921875e-06
9,3.814697265625e-06
1,0.0
23,9.5367431640625e-07
3,2.1457672119140625e-06
9,3.814697265625e-06
1,0.0
23,1.1920928955078125e-06
3,2.1457672119140625e-06
9,3.0994415283203125e-06
1,0.0
23,9.5367431640625e-07
3,2.86102294921875e-06
9,4.0531158447265625e-06
1,0.0
23,9.5367431640625e-07
3,2.1457672119140625e-06
9,2.86102294921875e-06
1,9.5367431640625e-07
23,9.5367431640625e-07
3,3.0994415283203125e-06
9,2.86102294921875e-06
1,0.0
23,1.1920928955078125e-06
3,3.0994415283203125e-06
9,2.86102294921875e-06
1,0.0
23,2.1457672119140625e-06
3,2.6226043701171875e-06
9,4.0531158447265625e-06
1,7.152557373046875e-07
23,3.0994415283203125e-06
3,1.0013580322265625e-05
9,9.059906005859375e-06
1,0.0
23,2.1457672119140625e-06
3,5.245208740234375e-06
9,3.814697265625e-06
1,1.1920928955078125e-06
23,1.1920928955078125e-06
3,4.0531158447265625e-06
9,4.0531158447265625e-06
1,0.0
23,1.9073486328125e-06
3,2.6226043701171875e-06
9,4.0531158447265625e-06
1,9.5367431640625e-07
23,1.6689300537109375e-06
3,2.86102294921875e-06
9,4.0531158447265625e-06
1,0.0
23,9.5367431640625e-07
3,2.86102294921875e-06
9,2.86102294921875e-06
1,9.5367431640625e-07
23,9.5367431640625e-07
3,2.1457672119140625e-06
9,2.1457672119140625e-06
1,0.0
23,9.5367431640625e-07
3,1.9073486328125e-06
9,3.0994415283203125e-06
1,0.0
23,9.5367431640625e-07
3,2.86102294921875e-06
9,4.0531158447265625e-06
1,0.0
23,9.5367431640625e-07
3,1.9073486328125e-06
9,3.0994415283203125e-06
1,1.1920928955078125e-06
23,9.5367431640625e-07
3,3.0994415283203125e-06
9,4.0531158447265625e-06
1,0.0
23,9.5367431640625e-07
3,2.86102294921875e-06
9,3.0994415283203125e-06
1,0.0
23,1.1920928955078125e-06
3,1.9073486328125e-06
9,3.0994415283203125e-06
1,1.1920928955078125e-06
23,7.152557373046875e-07
3,2.86102294921875e-06
9,4.0531158447265625e-06
1,9.5367431640625e-07
23,1.1920928955078125e-06
3,2.1457672119140625e-06
9,3.0994415283203125e-06
1,0.0
23,9.5367431640625e-07
3,2.6226043701171875e-06
9,2.86102294921875e-06
1,9.5367431640625e-07
23,9.5367431640625e-07
3,3.0994415283203125e-06
9,4.0531158447265625e-06
1,9.5367431640625e-07
23,1.9073486328125e-06
3,3.0994415283203125e-06
9,3.814697265625e-06
1,9.5367431640625e-07
23,1.1920928955078125e-06
3,2.1457672119140625e-06
9,4.0531158447265625e-06
1,0.0
23,9.5367431640625e-07
3,3.0994415283203125e-06
9,4.291534423828125e-06
1,9.5367431640625e-07
23,9.5367431640625e-07
3,4.0531158447265625e-06
9,4.0531158447265625e-06
1,0.0
23,9.5367431640625e-07
3,3.0994415283203125e-06
9,3.0994415283203125e-06
1,9.5367431640625e-07
23,9.5367431640625e-07
3,3.0994415283203125e-06
9,3.0994415283203125e-06
1,0.0
23,1.1920928955078125e-06
3,2.1457672119140625e-06
9,2.1457672119140625e-06
1,9.5367431640625e-07
23,9.5367431640625e-07
3,9.5367431640625e-07
9,1.6689300537109375e-06
1,0.0
23,9.5367431640625e-07
3,2.86102294921875e-06
9,3.0994415283203125e-06
1,0.0
23,1.1920928955078125e-06
3,2.1457672119140625e-06
9,4.0531158447265625e-06
1,9.5367431640625e-07
23,2.1457672119140625e-06
3,2.86102294921875e-06
9,2.6226043701171875e-06
1,9.5367431640625e-07
23,9.5367431640625e-07
3,2.1457672119140625e-06
9,3.0994415283203125e-06
1,0.0
23,9.5367431640625e-07
3,3.0994415283203125e-06
9,3.0994415283203125e-06
1,9.5367431640625e-07
23,9.5367431640625e-07
3,3.0994415283203125e-06
9,1.9073486328125e-06
1,9.5367431640625e-07
23,9.5367431640625e-07
3,2.1457672119140625e-06
9,4.0531158447265625e-06
1,0.0
23,1.1920928955078125e-06
3,3.0994415283203125e-06
9,3.814697265625e-06
1,0.0
23,9.5367431640625e-07
3,5.7220458984375e-06
9,5.9604644775390625e-06
1,7.152557373046875e-07
23,9.5367431640625e-07
3,2.86102294921875e-06
9,2.6226043701171875e-06
1,9.5367431640625e-07
23,9.5367431640625e-07
3,3.0994415283203125e-06
9,3.814697265625e-06
1,0.0
23,1.1920928955078125e-06
3,1.9073486328125e-06
